,ngram,risk_factor,umls_id,umls_term
0,Diastolic hypertension,hypertension,C0235222,Diastolic hypertension
1,Hypertensive crisis,hypertension,C0857121,Hypertensive (finding)
2,Hypertensive crisis,hypertension,C0231224,Crisis
3,Maternal hypertension,hypertension,C0026591,Mother (person)
4,Maternal hypertension,hypertension,C1963138,Hypertension Adverse Event
5,Paroxysmal hypertension,hypertension,C0221154,Paroxysmal hypertension
6,Postoperative hypertension,hypertension,C0032790,Postoperative Period
7,Postoperative hypertension,hypertension,C1963138,Hypertension Adverse Event
8,Renal hypertension,hypertension,C0020544,Renal hypertension
9,Secondary hypertension,hypertension,C0155616,Secondary hypertension
10,Severe pre-eclampsia,hypertension,C0205082,Severe (severity modifier)
11,Severe pre-eclampsia,hypertension,C0032914,Pre-Eclampsia
12,Supine hypertension,hypertension,C4076686,Supine hypertension
13,Systolic hypertension,hypertension,C0221155,Systolic hypertension
14,Transient hypertension of pregnancy,hypertension,C0040704,Transient Population Group
15,Transient hypertension of pregnancy,hypertension,C1963138,Hypertension Adverse Event
16,Transient hypertension of pregnancy,hypertension,C0032961,Pregnancy
17,DEND syndrome,diabetes,C4303593,DEND syndrome
18,Hollow visceral neuropathy,diabetes,C0400875,Hollow visceral neuropathy
19,Macroalbuminuric diabetic nephropathy,diabetes,C0730345,Microalbuminuria
20,Macroalbuminuric diabetic nephropathy,diabetes,C0011881,Diabetic Nephropathy
21,Neonatal diabetes mellitus,diabetes,C0158981,Neonatal diabetes mellitus
22,Nodular glomerulosclerosis,diabetes,C0017667,Nodular glomerulosclerosis
23,Secondary diabetes mellitus,diabetes,C0271640,Secondary diabetes mellitus
24,Transient neonatal diabetes mellitus,diabetes,C0040704,Transient Population Group
25,Transient neonatal diabetes mellitus,diabetes,C0021289,"Infant, Newborn"
26,Appendix of testis,gender,C0003617,Appendix
27,Appendix of testis,gender,C0039597,Testis
28,Central zone of prostate,gender,C0458698,Central zone of prostate
29,Central zone of prostate,gender,C0033572,Prostate
30,Cervical canal structure,gender,C0227841,Cervical canal structure
31,Corpus cavernosum structure,gender,C0227937,Corpus cavernosum structure
32,Decidua basalis structure,gender,C0230965,Decidua basalis structure
33,Endometrial gland structure,gender,C0227848,Endometrial gland structure
34,Epididymal duct structure,gender,C0014533,Epididymis
35,Female urethral structure,gender,C0086287,Females
36,Female urethral structure,gender,C0041967,Urethra
37,Gender,gender,C0079399,Gender
38,Gender finding,gender,C0079399,Gender
39,Gender finding,gender,C0243095,Finding
40,Gravid uterus structure,gender,C0549206,Patient currently pregnant
41,Gravid uterus structure,gender,C0227813,Body of uterus
42,Male urethral structure,gender,C0086582,Males
43,Male urethral structure,gender,C0041967,Urethra
44,Membranous urethra structure,gender,C0458453,Membranous urethra structure
45,Peripheral zone of prostate,gender,C0458696,Peripheral zone of prostate
46,Peripheral zone of prostate,gender,C0033572,Prostate
47,Posterior lobe of prostate,gender,C0227976,Posterior lobe of prostate
48,Posterior lobe of prostate,gender,C0033572,Prostate
49,Region of vagina,gender,C0205147,regional
50,Region of vagina,gender,C0042232,Vagina
51,Right basal anterior fibromuscular stroma of prostate,gender,C4273849,Right basal anterior fibromuscular stroma of prostate
52,Right basal anterior fibromuscular stroma of prostate,gender,C0927195,Stroma
53,Right basal anterior fibromuscular stroma of prostate,gender,C0033572,Prostate
54,Seminiferous tubule structure,gender,C0036630,Seminiferous tubule structure
55,Structure of anterior surface of prostate,gender,C0678594,structure
56,Structure of anterior surface of prostate,gender,C0751437,Adenohypophyseal Diseases
57,Structure of anterior surface of prostate,gender,C0205148,Surface
58,Structure of anterior surface of prostate,gender,C0033572,Prostate
59,Structure of apex of prostate,gender,C0678594,structure
60,Structure of apex of prostate,gender,C0140145,"APEX1 protein, human"
61,Structure of apex of prostate,gender,C0033572,Prostate
62,Structure of corpus luteum of ovary,gender,C0678594,structure
63,Structure of corpus luteum of ovary,gender,C0010092,Structure of corpus luteum of ovary
64,Structure of corpus luteum of ovary,gender,C0029939,Ovary
65,Structure of cumulus oophorus,gender,C0678594,structure
66,Structure of cumulus oophorus,gender,C0227885,Structure of cumulus oophorus
67,Structure of decidua capsularis,gender,C0678594,structure
68,Structure of decidua capsularis,gender,C0230964,Structure of decidua capsularis
69,Structure of efferent ductule of testis,gender,C0678594,structure
70,Structure of efferent ductule of testis,gender,C0228013,Structure of efferent ductule of testis
71,Structure of efferent ductule of testis,gender,C0039597,Testis
72,Structure of endometrial stroma,gender,C0678594,structure
73,Structure of endometrial stroma,gender,C0227849,Structure of endometrial stroma
74,Structure of germinal epithelium of ovary,gender,C0678594,structure
75,Structure of germinal epithelium of ovary,gender,C1517534,Germinal Epithelium
76,Structure of germinal epithelium of ovary,gender,C0029939,Ovary
77,Structure of gubernaculum testis,gender,C0678594,structure
78,Structure of gubernaculum testis,gender,C0228051,Structure of gubernaculum testis
79,Structure of hilum of ovary,gender,C0678594,structure
80,Structure of hilum of ovary,gender,C0929176,Hilum
81,Structure of hilum of ovary,gender,C0029939,Ovary
82,Structure of horn of uterus,gender,C0678594,structure
83,Structure of horn of uterus,gender,C0019939,Horns
84,Structure of horn of uterus,gender,C0042149,Uterus
85,Structure of inferior pole of testis,gender,C0678594,structure
86,Structure of inferior pole of testis,gender,C1179623,Inferior pole
87,Structure of inferior pole of testis,gender,C0039597,Testis
88,Structure of interstitial cell of Leydig,gender,C0678594,structure
89,Structure of interstitial cell of Leydig,gender,C0023602,Structure of interstitial cell of Leydig
90,Structure of interstitial cell of Leydig,gender,C0023602,Structure of interstitial cell of Leydig
91,Structure of interstitial tissue of ovary,gender,C0678594,structure
92,Structure of interstitial tissue of ovary,gender,C0225318,Interstitial tissue
93,Structure of interstitial tissue of ovary,gender,C0029939,Ovary
94,Structure of left ovary,gender,C0678594,structure
95,Structure of left ovary,gender,C0227874,Structure of left ovary
96,Structure of left seminal vesicle,gender,C0678594,structure
97,Structure of left seminal vesicle,gender,C0205091,Left
98,Structure of left testis,gender,C0678594,structure
99,Structure of left testis,gender,C0227998,Structure of left testis
100,Structure of lobe of prostate,gender,C0227970,Structure of lobe of prostate
101,Structure of lobe of prostate,gender,C0033572,Prostate
102,Structure of median lobe of prostate,gender,C0678594,structure
103,Structure of median lobe of prostate,gender,C0876920,Median Statistical Measurement
104,Structure of median lobe of prostate,gender,C0033572,Prostate
105,Structure of mesovarium,gender,C0678594,structure
106,Structure of mesovarium,gender,C0230310,Structure of mesovarium
107,Structure of obstetrical canal,gender,C0678594,structure
108,Structure of obstetrical canal,gender,C0230288,Structure of obstetrical canal
109,Structure of ovarian artery,gender,C0678594,structure
110,Structure of ovarian artery,gender,C0226411,Structure of ovarian artery
111,Structure of ovarian ligament,gender,C0678594,structure
112,Structure of ovarian ligament,gender,C0230309,Structure of ovarian ligament
113,Structure of paradidymis,gender,C0678594,structure
114,Structure of parietal layer of tunica vaginalis,gender,C0678594,structure
115,Structure of parietal layer of tunica vaginalis,gender,C0225969,Structure of parietal pericardium
116,Structure of parietal layer of tunica vaginalis,gender,C0228014,Tunica vaginalis
117,Structure of penile vein,gender,C0678594,structure
118,Structure of penile vein,gender,C0226778,Structure of penile vein
119,Structure of preputial gland,gender,C0678594,structure
120,Structure of preputial gland,gender,C0227956,Structure of preputial gland
121,Structure of prostatic glandular tissue,gender,C0678594,structure
122,Structure of prostatic glandular tissue,gender,C0227967,Structure of prostatic glandular tissue
123,Structure of prostatic utricle,gender,C0678594,structure
124,Structure of prostatic utricle,gender,C0227736,Structure of prostatic utricle
125,Structure of rectouterine pouch,gender,C0678594,structure
126,Structure of rectouterine pouch,gender,C0013075,Structure of rectouterine pouch
127,Structure of rete ovarii,gender,C0678594,structure
128,Structure of rete ovarii,gender,C0227880,Structure of rete ovarii
129,Structure of rete testis,gender,C0678594,structure
130,Structure of rete testis,gender,C0035278,Structure of rete testis
131,Structure of right ovary,gender,C0678594,structure
132,Structure of right ovary,gender,C0227873,Structure of right ovary
133,Structure of right testis,gender,C0678594,structure
134,Structure of right testis,gender,C0227997,Structure of right testis
135,Structure of sertoli cell,gender,C0678594,structure
136,Structure of sertoli cell,gender,C0036770,Structure of sertoli cell
137,Structure of spermatogenic epithelium,gender,C0678594,structure
138,Structure of spermatogenic epithelium,gender,C0036629,Structure of spermatogenic epithelium
139,Structure of tail of epididymis,gender,C0678594,structure
140,Structure of tail of epididymis,gender,C0039259,Tail
141,Structure of tail of epididymis,gender,C0014533,Epididymis
142,Structure of testicular artery,gender,C0678594,structure
143,Structure of testicular artery,gender,C0226409,Structure of testicular artery
144,Structure of testicular vein,gender,C0678594,structure
145,Structure of testicular vein,gender,C0226718,Structure of testicular vein
146,Structure of uterine artery,gender,C0678594,structure
147,Structure of uterine artery,gender,C0226378,Structure of uterine artery
148,Structure of uterine serosa,gender,C0678594,structure
149,Structure of uterine serosa,gender,C0227824,Structure of uterine serosa
150,Structure of uterine vein,gender,C0678594,structure
151,Structure of uterine vein,gender,C0226787,Structure of uterine vein
152,Structure of uterine wall,gender,C0678594,structure
153,Structure of uterine wall,gender,C0447620,Structure of uterine wall
154,Structure of vaginal vault,gender,C0678594,structure
155,Structure of vaginal vault,gender,C0549115,Structure of vaginal vault
156,Surface of ovary,gender,C0205148,Surface
157,Surface of ovary,gender,C0029939,Ovary
158,Surface of prostate,gender,C0205148,Surface
159,Surface of prostate,gender,C0033572,Prostate
160,Theca folliculi structure,gender,C0227888,Theca folliculi structure
161,Uterine adnexae structure,gender,C0001575,Uterine adnexae structure
162,Vaginal introitus structure,gender,C0458952,Vaginal introitus structure
163,Vaginal wall,gender,C0447612,Vaginal wall
164,Vas deferens structure,gender,C0042360,Vas deferens structure
165,Vestibular gland structure,gender,C0458842,Vestibular gland structure
166,3C syndrome,heart,C0039082,Syndrome
167,Abdominal aortic atherosclerosis,heart,C0398356,Abdominal aortic atherosclerosis
168,Abnormal blood pressure,heart,C1550458,Observation Interpretation - Abnormal
169,Abnormal blood pressure,heart,C0005823,Blood Pressure
170,Abnormal cardiac conduction,heart,C1550458,Observation Interpretation - Abnormal
171,Abnormal cardiac conduction,heart,C0232217,Cardiac conduction
172,Abnormal coronary artery course,heart,C1550458,Observation Interpretation - Abnormal
173,Abnormal coronary artery course,heart,C0205042,Coronary artery
174,Abnormal vascular flow,heart,C1550458,Observation Interpretation - Abnormal
175,Abnormal vascular flow,heart,C0232338,Blood flow
176,Abnormal vasomotor function,heart,C1550458,Observation Interpretation - Abnormal
177,Abnormal vasomotor function,heart,C0232365,Vasomotor function
178,Abnormality of aortic arch,heart,C1704258,Abnormality
179,Abnormality of aortic arch,heart,C0003489,Aortic arch structure
180,Abnormality of aortic valve,heart,C1704258,Abnormality
181,Abnormality of aortic valve,heart,C0003501,Aortic valve structure
182,Absent pulse,heart,C4285062,Pharyngeal Stripping Wave Absent
183,Absent pulse,heart,C0391850,Physiologic pulse
184,Acroparesthesia,heart,C0234221,Acroparesthesia
185,Acute bowel infarction,heart,C0267405,Acute bowel infarction
186,Acute congestive heart failure,heart,C0264719,Acute congestive heart failure
187,Acute cor pulmonale,heart,C0155672,Acute cor pulmonale
188,Acute disease of cardiovascular system,heart,C0001314,Acute Disease
189,Acute disease of cardiovascular system,heart,C3540036,CARDIOVASCULAR SYSTEM DRUGS
190,Acute endocarditis,heart,C0375268,Acute endocarditis
191,Acute heart failure,heart,C0264714,Acute heart failure
192,Acute idiopathic pericarditis,heart,C0155681,Acute idiopathic pericarditis
193,Acute left ventricular failure,heart,C1306063,Acute left ventricular failure
194,Acute massive pulmonary embolism,heart,C0340535,Acute massive pulmonary embolism
195,Acute myocardial infarction,heart,C0155626,Acute myocardial infarction
196,Acute myocardial ischemia,heart,C0746731,Acute myocardial ischemia
197,Acute myocarditis,heart,C0155686,Acute myocarditis
198,Acute myopericarditis,heart,C0265132,Acute myopericarditis
199,Acute pericarditis,heart,C0155679,Acute pericarditis
200,Acute pulmonary embolism,heart,C2882221,Acute pulmonary embolism
201,Acute purulent pericarditis,heart,C0265149,Acute purulent pericarditis
202,Acute rheumatic heart disease,heart,C0035440,Acute rheumatic heart disease
203,Aneurysm,heart,C0002940,Aneurysm
204,Aneurysm of hepatic artery,heart,C0002940,Aneurysm
205,Aneurysm of hepatic artery,heart,C0019145,Hepatic artery
206,Aneurysm of subclavian artery,heart,C0002940,Aneurysm
207,Aneurysm of subclavian artery,heart,C0038530,Structure of subclavian artery
208,Angiofibroma,heart,C0206731,Angiofibroma
209,Anterior segment ischemia,heart,C1531582,Anterior segment ischemia
210,Aortic bifurcation thrombosis,heart,C2739808,Aortic bifurcation thrombosis
211,Aortic root dilatation,heart,C0238669,Aortic root dilatation
212,Aortic thromboembolism,heart,C0558360,Aortic thromboembolism
213,Aortic valve calcification,heart,C0428791,Aortic valve calcification
214,Aortic valve disorder,heart,C1260873,Aortic valve disorder
215,Aortic valve vegetations,heart,C0577870,Aortic valve vegetations
216,Aortitis,heart,C0003509,Aortitis
217,Aortocaval compression,heart,C2953246,Parietal lumbar lymph node group
218,Aortocaval compression,heart,C0332459,Compressed structure
219,Aortocaval fistula,heart,C0265008,Aortocaval fistula
220,Arterial aneurysm,heart,C0340613,Arterial aneurysm
221,Arterial embolism,heart,C0549124,Arterial embolism
222,Arterial insufficiency,heart,C0003834,Arterial insufficiency
223,Arterial ischemia,heart,C0340561,Arterial ischemia
224,Arterial thrombosis,heart,C0151942,Arterial thrombosis
225,Arteriolitis,heart,C0003848,Arteriolitis
226,Arteriosclerosis of aorta,heart,C0003850,Arteriosclerosis
227,Arteriosclerosis of aorta,heart,C0003483,Aorta
228,Arteriospasm,heart,C0085617,Arteriospasm
229,Arteriovascular degeneration,heart,C0264954,Arteriovascular degeneration
230,Arteriovenous fistula,heart,C0003855,Arteriovenous fistula
231,Arteriovenous graft thrombosis,heart,C0349757,Arteriovenous graft thrombosis
232,Arteriovenous malformation of liver,heart,C0334533,Arteriovenous hemangioma
233,Arteriovenous malformation of liver,heart,C0736268,Liver parenchyma
234,Arteritis,heart,C0003860,Arteritis
235,Atherosclerosis of aorta,heart,C0003850,Arteriosclerosis
236,Atherosclerosis of aorta,heart,C0003483,Aorta
237,Atrial arrhythmia,heart,C0085611,Atrial arrhythmia
238,Atrial dilatation,heart,C0264734,Atrial dilatation
239,Atrial rupture,heart,C0877045,Atrial rupture
240,Atrial thrombosis,heart,C0340517,Atrial thrombosis
241,Atypical angina,heart,C0741026,Atypical angina
242,Atypical measles,heart,C0205182,Atypical
243,Autoimmune vasculitis,heart,C1328843,Autoimmune vasculitis
244,Bacterial pericarditis,heart,C0340445,Bacterial pericarditis
245,Bicuspid aortic valve,heart,C0149630,Bicuspid aortic valve
246,Biventricular congestive heart failure,heart,C0685095,Biventricular congestive heart failure
247,Bleeding esophageal varices,heart,C0155789,Bleeding esophageal varices
248,Blocked premature atrial contraction,heart,C0028778,Obstruction
